Iteration 1/150, Global Best Position: [ 3.80474402 98.83356797  2.83297243  2.15713341], Global Best Value: 0.0
Iteration 2/150, Global Best Position: [ 3.80474402 98.83356797  2.83297243  2.15713341], Global Best Value: 0.0
Iteration 3/150, Global Best Position: [ 3.80474402 98.83356797  2.83297243  2.15713341], Global Best Value: 0.0
Iteration 4/150, Global Best Position: [2.86368561e-02 7.00000000e+01 2.65687614e+00 3.29556971e-01], Global Best Value: 2.67
Iteration 5/150, Global Best Position: [ 0.07013704 70.          2.13116895  0.08151933], Global Best Value: 3.61
Iteration 6/150, Global Best Position: [ 0.07013704 70.          2.13116895  0.08151933], Global Best Value: 3.61
Iteration 7/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 8/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 9/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 10/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 11/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 12/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 13/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 14/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 15/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 16/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 17/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 18/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 19/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
Iteration 20/150, Global Best Position: [6.22001349e-02 7.00000000e+01 1.60620781e+00 0.00000000e+00], Global Best Value: 4.550000000000001
